fe-Aggregate-AggregateProperty	aggregate@aggregateproperty
frame-Sleep-hibernate.v	sleep#hibernation.n
frame-Sleep-kip.v	sleep#catnap.n	sleep#catnap.v	sleep#doze.n	sleep#doze.v	sleep#drowse.n	sleep#drowse.v	sleep#forty_winks.n	sleep#kip.n	sleep#nap.n	sleep#nap.v	sleep#sleep.v	sleep#sleep_((quantity)).n	sleep#sleep_event.n	sleep#slumber.n	sleep#slumber.v	sleep#snooze.n	sleep#snooze.v
frame-Smuggling-smuggle.v	smuggling#contraband.a	smuggling#contraband.n	smuggling#smuggler.n	smuggling#smuggling.n
frame-Soaking_up-absorb.v	soaking_up#soak_up.v
frame-Sociability-shy.a	sociability#timid.a
frame-Social_connection-closeness.n	social_connection#close.a
frame-Social_connection-intimate.a	social_connection#intimate_((setting)).a
frame-Social_event-fete.n	social_event#banquet.n	social_event#celebration.n	social_event#feast.n
frame-Social_interaction_evaluation-cruel.a	social_interaction_evaluation#barbaric.a
frame-Social_interaction_evaluation-genial.a	social_interaction_evaluation#affable.a	social_interaction_evaluation#amiable.a	social_interaction_evaluation#cordial.a	social_interaction_evaluation#good-humored.a	social_interaction_evaluation#good-natured.a
frame-Social_interaction_evaluation-nice.a	social_interaction_evaluation#civil.a	social_interaction_evaluation#courteous.a	social_interaction_evaluation#gracious.a	social_interaction_evaluation#polite.a
frame-Social_interaction_evaluation-rude.a	social_interaction_evaluation#ill-mannered.a	social_interaction_evaluation#uncivil.a
frame-Social_interaction_evaluation-smart.a	social_interaction_evaluation#impertinent.a	social_interaction_evaluation#impudent.a
frame-Social_interaction_evaluation-ungracious.a	social_interaction_evaluation#discourteous.a
frame-Sole_instance-lone.a	sole_instance#only.a	sole_instance#sole.a
frame-Sound_movement-echo.v	sound_movement#resound.v	sound_movement#reverberate.v
frame-Sounds-bang.n	sounds#bellow.n	sounds#blare.n	sounds#blast.n	sounds#boom.n	sounds#clack.n	sounds#clatter.n	sounds#howl.n	sounds#roar.n	sounds#wail.n	sounds#whimper.n	sounds#whine.n	sounds#yowl.n
frame-Sounds-clang.n	sounds#clash.n
frame-Sounds-click.n	sounds#clink.n	sounds#tinkle.n
frame-Sounds-creak.n	sounds#screech.n	sounds#squeak.n
frame-Sounds-giggle.n	sounds#titter.n
frame-Sounds-hiss.n	sounds#hoot.n	sounds#snigger.n	sounds#snort.n
frame-Sounds-neigh.n	sounds#whinny.n
frame-Sounds-peep.n	sounds#cheep.n	sounds#chirp.n	sounds#twitter.n
frame-Sounds-plunk.n	sounds#scrunch.n	sounds#thump.n
frame-Sounds-rasp.n	sounds#scrape.n
frame-Sounds-slap.n	sounds#smack.n
frame-Speak_on_topic-deal.v	speak_on_topic#address.v	speak_on_topic#discuss.v
frame-Speak_on_topic-expound.v	speak_on_topic#expatiate.v
frame-Speak_on_topic-lecture.v	speak_on_topic#lecture.n
frame-Speak_on_topic-preach.v	speak_on_topic#sermonize.v
frame-Speed-quickly.adv	speed#fast.a	speed#quick.a	speed#quickly.c	speed#rapid.a	speed#rapidly.c	speed#speed.n	speed#speedily.c	speed#speedy.a
frame-Stage_of_progress-advanced.a	stage_of_progress#sophisticated.a
frame-State_continue-rest.v	state_continue#remain.v	state_continue#stay.v
frame-Statement-admit.v	statement#acknowledge.v	statement#admission.n
frame-Statement-claim.v	statement#claim.n
frame-Statement-concede.v	statement#profess.v
frame-Statement-confirm.v	statement#reaffirm.v
frame-Statement-contend.v	statement#contention.n
frame-Statement-declare.v	statement#announce.v	statement#announcement.n	statement#declaration.n	statement#exclaim.v	statement#proclaim.v	statement#proclamation.n	statement#promulgation.n
frame-Statement-deny.v	statement#denial.n
frame-Statement-hazard.v	statement#conjecture.n	statement#conjecture.v
frame-Statement-note.v	statement#comment.n	statement#comment.v	statement#mention.n	statement#mention.v	statement#observe.v	statement#remark.n	statement#remark.v
frame-Statement-propose.v	statement#suggest.v
frame-Statement-report.v	statement#describe.v	statement#explanation.n	statement#report.n
frame-Statement-say.v	statement#affirm.v	statement#affirmation.n	statement#allegation.n	statement#allege.v	statement#assert.v	statement#assertion.n	statement#aver.v	statement#avow.v	statement#avowal.n	statement#maintain.v	statement#recount.v	statement#relate.v	statement#state.v	statement#statement.n	statement#tell.v
frame-Statement-talk.v	statement#speak.v
frame-Stimulus_focus-agonizing.a	stimulus_focus#harrowing.a
frame-Stimulus_focus-appalling.a	stimulus_focus#dismaying.a
frame-Stimulus_focus-astounding.a	stimulus_focus#astonishing.a	stimulus_focus#stupefying.a
frame-Stimulus_focus-bewitching.a	stimulus_focus#captivating.a	stimulus_focus#enchanting.a	stimulus_focus#enthralling.a
frame-Stimulus_focus-charm_((mass)).n	stimulus_focus#charm_((count)).n
frame-Stimulus_focus-cheering.a	stimulus_focus#satisfying.a
frame-Stimulus_focus-confusing.a	stimulus_focus#perplexing.a
frame-Stimulus_focus-consoling.a	stimulus_focus#comforting.a
frame-Stimulus_focus-delight.n	stimulus_focus#pleasant.a
frame-Stimulus_focus-dreadful.a	stimulus_focus#abominable.a	stimulus_focus#frightening.a
frame-Stimulus_focus-dull.a	stimulus_focus#boring.a	stimulus_focus#irksome.a	stimulus_focus#tedious.a	stimulus_focus#tiresome.a
frame-Stimulus_focus-enjoyable.a	stimulus_focus#gratifying.a	stimulus_focus#pleasurable.a
frame-Stimulus_focus-full.a	stimulus_focus#rich.a
frame-Stimulus_focus-funny.a	stimulus_focus#amusing.a	stimulus_focus#comical.a	stimulus_focus#hilarious.a	stimulus_focus#humorous.a	stimulus_focus#jolly.a
frame-Stimulus_focus-ghastly.a	stimulus_focus#shocking.a
frame-Stimulus_focus-gripping.a	stimulus_focus#absorbing.a	stimulus_focus#engrossing.a	stimulus_focus#fascinating.a
frame-Stimulus_focus-maddening.a	stimulus_focus#exasperating.a	stimulus_focus#infuriating.a
frame-Stimulus_focus-mortifying.a	stimulus_focus#embarrassing.a
frame-Stimulus_focus-offensive.a	stimulus_focus#disgusting.a	stimulus_focus#distasteful.a	stimulus_focus#repellent.a	stimulus_focus#revolting.a	stimulus_focus#sickening.a
frame-Stimulus_focus-poignant.a	stimulus_focus#touching.a
frame-Stimulus_focus-rest.n	stimulus_focus#relaxation.n
frame-Stimulus_focus-rousing.a	stimulus_focus#stirring.a
frame-Stimulus_focus-sad.a	stimulus_focus#pitiful.a
frame-Stimulus_focus-scary.a	stimulus_focus#chilling.a
frame-Stimulus_focus-stressful.a	stimulus_focus#nerve-racking.a
frame-Stimulus_focus-thrilling.a	stimulus_focus#electrifying.a
frame-Stimulus_focus-unnerving.a	stimulus_focus#formidable.a
frame-Stimulus_focus-upsetting.a	stimulus_focus#disconcerting.a
frame-Stimulus_focus-vexation.n	stimulus_focus#annoyance.n
frame-Stimulus_focus-vexing.a	stimulus_focus#annoying.a	stimulus_focus#bothersome.a	stimulus_focus#galling.a	stimulus_focus#irritating.a	stimulus_focus#vexatious.a
frame-Stimulus_focus-worrying.a	stimulus_focus#distressing.a	stimulus_focus#disturbing.a	stimulus_focus#troubling.a	stimulus_focus#worrisome.a
frame-Stinginess-miser.n	stinginess#mean.a	stinginess#miserliness.n	stinginess#miserly.a	stinginess#niggardliness.n	stinginess#niggardly.a
frame-Stinginess-stingy.a	stinginess#ungenerous.a
frame-Store-stock.n	store#inventory.n	store#reserve.n	store#stockpile.n	store#store.n
frame-Storing-store.v	storing#storage.n
frame-Strictness-lenient.a	strictness#indulgent.a
frame-Strictness-liberal.a	strictness#tolerant.a
frame-Suasion-sway.v	suasion#convince.v	suasion#persuade.v
frame-Subjective_influence-impact.v	subjective_influence#impact.n
frame-Subjective_influence-influence.v	subjective_influence#influential.a
frame-Subjective_influence-inspire.v	subjective_influence#inspiration.n
frame-Submitting_documents-submit.v	submitting_documents#submission.n
frame-Subordinates_and_superiors-master.n	subordinates_and_superiors#superior.n
frame-Subordinates_and_superiors-underling.n	subordinates_and_superiors#subordinate.n
frame-Subversion-subvert.v	subversion#sabotage.v	subversion#undermine.v
frame-Success_or_failure-manage.v	success_or_failure#pull_off.v
frame-Sufficiency-enough.adv	sufficiency#enough.c	sufficiency#plenty.c
frame-Sufficiency-inadequately.adv	sufficiency#inadequate.a	sufficiency#inadequately.c
frame-Sufficiency-insufficiently.adv	sufficiency#inadequacy.n	sufficiency#insufficient.a	sufficiency#insufficiently.c
frame-Sufficiency-so.adv	sufficiency#so.c
frame-Sufficiency-sufficiently.adv	sufficiency#adequacy.n	sufficiency#adequate.a	sufficiency#adequately.c	sufficiency#enough.a	sufficiency#enough.n	sufficiency#suffice.v	sufficiency#sufficient.a	sufficiency#sufficiently.c
frame-Sufficiency-too.adv	sufficiency#too.c
frame-Suitability-fit.a	suitability#fitting.a
frame-Suitability-fit.v	suitability#suit.v
frame-Suitability-right.a	suitability#correct.a
frame-Suitability-suitability.n	suitability#suitable.a	suitability#suitableness.n	suitability#suited.a
frame-Suitability-unsuitability.n	suitability#unsuitable.a	suitability#unsuitableness.n
frame-Summarizing-sum_up.v	summarizing#outline.v	summarizing#summarize.v	summarizing#synopsis.n
frame-Supply-equip.v	supply#equipment.n	supply#outfit.v
frame-Supply-issue.v	supply#furnish.v	supply#provide.v	supply#provision.n	supply#provision.v	supply#supplier.n	supply#supply.n	supply#supply.v
frame-Surpassing-outdo.v	surpassing#exceed.v	surpassing#outstrip.v	surpassing#surpass.v
frame-Surrendering-give_up.v	surrendering#surrender.v
frame-Surrendering_possession-yield.v	surrendering_possession#give_up.v	surrendering_possession#surrender.v
frame-Surviving-survive.v	surviving#survival.n
frame-Suspicion-suspect.v	suspicion#suspect.n
frame-Suspicion-under_suspicion.prep	suspicion#under_suspicion.c
frame-Suspiciousness-fishy.a	suspiciousness#suspect.a	suspiciousness#suspicious.a
frame-Take_place_of-replace.v	take_place_of#replacement.n	take_place_of#substitute.v
frame-Taking_sides-against.prep	taking_sides#against.c
frame-Taking_sides-back.v	taking_sides#endorse.v	taking_sides#support.v	taking_sides#supporter.n	taking_sides#supportive.a
frame-Taking_sides-for.prep	taking_sides#for.c
frame-Taking_sides-in_favor.prep	taking_sides#in_favor.c
frame-Taking_sides-opposition_((act)).n	taking_sides#opposition_((entity)).n
frame-Taking_sides-pro.adv	taking_sides#pro.c
frame-Taking_time-fast.a	taking_time#quick.a	taking_time#rapid.a	taking_time#speedy.a	taking_time#swift.a
frame-Taking_time-gradually.adv	taking_time#gradually.c
frame-Taking_time-in.prep	taking_time#in.c
frame-Taking_time-slowly.adv	taking_time#slow.a	taking_time#slowly.c
frame-Talking_into-incite.v	talking_into#inspire.v
frame-Tasting-try.v	tasting#taste.v
frame-Telling-advise.v	telling#apprise.v	telling#notification.n	telling#notify.v
frame-Temperature-tepid.a	temperature#lukewarm.a
frame-Temporal_collocation-around.prep	temporal_collocation#around.c
frame-Temporal_collocation-at.prep	temporal_collocation#at.c
frame-Temporal_collocation-at_present.adv	temporal_collocation#at_present.c
frame-Temporal_collocation-at_the_time.adv	temporal_collocation#at_the_time.c
frame-Temporal_collocation-currently.adv	temporal_collocation#current.a	temporal_collocation#currently.c	temporal_collocation#nowadays.n
frame-Temporal_collocation-during.prep	temporal_collocation#during.c
frame-Temporal_collocation-in.prep	temporal_collocation#in.c
frame-Temporal_collocation-newly.adv	temporal_collocation#newly.c
frame-Temporal_collocation-no_longer.adv	temporal_collocation#no_longer.c
frame-Temporal_collocation-now.adv	temporal_collocation#now.c
frame-Temporal_collocation-on.prep	temporal_collocation#on.c
frame-Temporal_collocation-recently.adv	temporal_collocation#recently.c
frame-Temporal_collocation-then.adv	temporal_collocation#then.c
frame-Temporal_collocation-ultimately.adv	temporal_collocation#ultimately.c
frame-Temporal_collocation-when.adv	temporal_collocation#when.c
frame-Temporal_collocation-within.prep	temporal_collocation#within.c
frame-Temporal_pattern-beat.n	temporal_pattern#rhythm.n
frame-Temporal_pattern-rhythmically.adv	temporal_pattern#rhythmic.a	temporal_pattern#rhythmically.c
frame-Temporal_subregion-late.a	temporal_subregion#later.a
frame-Temporal_subregion-start.n	temporal_subregion#beginning.n	temporal_subregion#outset.n
frame-Temporary_stay-room.v	temporary_stay#board.v
frame-Temporary_stay-stay.v	temporary_stay#stay.n
frame-Temporary_stay-stay_over.v	temporary_stay#sleep_over.v
frame-Terms_of_agreement-term.n	terms_of_agreement#stipulation.n
frame-Terrorism-terrorism.n	terrorism#terrorist.n
frame-Text-account.n	text#chronicle.n	text#history.n
frame-Text-book.n	text#booklet.n	text#brochure.n	text#pamphlet.n	text#script.n	text#tract.n	text#volume.n
frame-Text-epic.n	text#epic.a
frame-Text-fable.n	text#fiction.n
frame-Text-lay.n	text#ballad.n
frame-Text-letter.n	text#missive.n
frame-Text-mag.n	text#magazine.n
frame-Text-mystery.n	text#whodunit.n
frame-Text-newspaper.n	text#paper_(newspaper).n
frame-Text-novel.n	text#novelette.n	text#novella.n
frame-Text-rhyme.n	text#poetry.n
frame-Text_creation-jot.v	text_creation#jot_down.v
frame-Text_creation-pen.v	text_creation#author.v	text_creation#compose.v	text_creation#write.v
frame-Text_creation-speak.v	text_creation#utter.v
frame-Theft-cop.v	theft#abstract.v	theft#filch.v	theft#larceny.n	theft#lift.v	theft#pilfer.v	theft#pilferage.n	theft#pilferer.n	theft#pinch.v	theft#purloin.v	theft#shoplift.v	theft#shoplifter.n	theft#shoplifting.n	theft#snitch.v	theft#steal.v	theft#stealer.n	theft#stealing.n	theft#swipe.v	theft#theft.n	theft#thief.n	theft#thieve.v	theft#thieving.n
frame-Theft-cutpurse.n	theft#pickpocket.n
frame-Theft-embezzle.v	theft#embezzlement.n	theft#embezzler.n	theft#misappropriate.v	theft#misappropriation.n	theft#peculation.n
frame-Theft-snatch.v	theft#snatch.n
frame-Thriving-thrive.v	thriving#prosper.v
frame-Thwarting-counter.v	thwarting#forestall.v	thwarting#preclude.v	thwarting#prevent.v
frame-Thwarting-foil.v	thwarting#frustrate.v	thwarting#stop.v	thwarting#stymie.v	thwarting#thwart.v
frame-Time_vector-after.prep	time_vector#after.c
frame-Time_vector-ago.prep	time_vector#ago.c
frame-Time_vector-already.adv	time_vector#already.c
frame-Time_vector-ante.prep	time_vector#ante.c
frame-Time_vector-before.prep	time_vector#before.c
frame-Time_vector-beforehand.adv	time_vector#beforehand.c
frame-Time_vector-down_the_road.prep	time_vector#down_the_road.c
frame-Time_vector-finally.adv	time_vector#eventually.c	time_vector#finally.c
frame-Time_vector-formerly.adv	time_vector#formerly.c
frame-Time_vector-from.prep	time_vector#from.c
frame-Time_vector-hence.prep	time_vector#hence.c
frame-Time_vector-in_time.prep	time_vector#in_time.c
frame-Time_vector-later.adv	time_vector#afterward.c	time_vector#afterwards.c	time_vector#later.c
frame-Time_vector-post.prep	time_vector#post.c
frame-Time_vector-pre.prep	time_vector#pre.c
frame-Time_vector-previously.adv	time_vector#previous.a	time_vector#previously.c
frame-Time_vector-prior.adv	time_vector#prior.c
frame-Time_vector-right_away.adv	time_vector#right_away.c
frame-Time_vector-since.adv	time_vector#since.c
frame-Time_vector-sooner_rather_than_later.adv	time_vector#sooner_rather_than_later.c
frame-Time_vector-thereafter.adv	time_vector#thereafter.c
frame-Time_vector-through.prep	time_vector#through.c
frame-Time_vector-until.prep	time_vector#until.c
frame-Tolerating-bear.v	tolerating#endure.v	tolerating#tolerate.v	tolerating#toleration.n
frame-Topic-about.prep	topic#about.c
frame-Topic-concerning.prep	topic#concerning.c
frame-Topic-cover.v	topic#address.v	topic#discuss.v	topic#treat.v
frame-Topic-on.prep	topic#on.c
frame-Topic-regard.v	topic#regard.n
frame-Topic-regarding.prep	topic#regarding.c
frame-Topic-theme.n	topic#subject.n	topic#topic.n
frame-Touring-tour.v	touring#tour.n	touring#tourism.n	touring#tourist.n
frame-Toxic_substance-toxin.n	toxic_substance#toxic.a
frame-Toxic_substance-venom.n	toxic_substance#venomous.a
frame-Transfer-transfer.v	transfer#transfer.n
frame-Travel-tour.v	travel#tour.n
frame-Travel-travel.v	travel#excursion.n	travel#expedition.n	travel#jaunt.n	travel#journey.n	travel#journey.v	travel#junket.n	travel#travel.n	travel#traveler.n	travel#trip.n
frame-Travel-voyage.v	travel#voyage.n
frame-Traversing-cross.v	traversing#traverse.v
frame-Traversing-jump.v	traversing#leap.v
frame-Trendiness-chic.a	trendiness#fashionable.a
frame-Trendiness-style.n	trendiness#fashion.n
frame-Trust-gullible.a	trust#credulous.a
frame-Trust-reliability.n	trust#reliable.a
frame-Trust-trust.v	trust#faith.n	trust#trust.n	trust#trustworthy.a
frame-Trying_out-try.v	trying_out#try_out.v
frame-Type-breed.n	type#strain.n
frame-Type-form.n	type#class.n	type#kind.n	type#sort.n	type#variety.n
frame-Type-make.n	type#brand.n
frame-Typicality-odd.a	typicality#curious.a
frame-Unattributed_information-allegedly.adv	unattributed_information#alleged.a	unattributed_information#allegedly.c
frame-Unattributed_information-ostensibly.adv	unattributed_information#ostensible.a	unattributed_information#ostensibly.c
frame-Unattributed_information-reportedly.adv	unattributed_information#reportedly.c
frame-Unattributed_information-rumor.v	unattributed_information#rumor.n
frame-Unattributed_information-supposedly.adv	unattributed_information#purportedly.c	unattributed_information#supposedly.c
frame-Undergo_change-change.v	undergo_change#change.n
frame-Undressing-shed.v	undressing#throw_off.v
frame-Use_firearm-fire.v	use_firearm#discharge.v
frame-Used_up-worn_out.a	used_up#exhausted.a
frame-Usefulness-great.a	usefulness#outstanding.a
frame-Usefulness-splendid.a	usefulness#excellent.a
frame-Usefulness-terrific.a	usefulness#fantastic.a	usefulness#marvellous.a	usefulness#tremendous.a	usefulness#wonderful.a
frame-Usefulness-utility.n	usefulness#useful.a
frame-Using-use.v	using#application.n	using#apply.v	using#employ.v	using#employment.n	using#use.n	using#utilisation.n	using#utilise.v
frame-Vehicle-bike.n	vehicle#bicycle.n
frame-Vehicle-cab.n	vehicle#taxi.n
frame-Vehicle-car.n	vehicle#automobile.n
frame-Vehicle-plane.n	vehicle#aeroplane.n
frame-Verdict-clear.v	verdict#acquit.v	verdict#acquittal.n
frame-Verification-verify.v	verification#certify.v	verification#confirm.v	verification#confirmation.n	verification#substantiate.v	verification#verifiable.a	verification#verification.n
frame-Visiting-visit.v	visiting#call.n	visiting#visit.n	visiting#visitor.n
frame-Volubility-curt.a	volubility#laconic.a	volubility#terse.a
frame-Volubility-gushy.a	volubility#effusive.a	volubility#gushing.a
frame-Volubility-loquacity.n	volubility#chatty.a	volubility#expansive.a	volubility#garrulous.a	volubility#loquacious.a	volubility#talkative.a
frame-Volubility-mum.a	volubility#silent.a
frame-Volubility-reticence.n	volubility#reticent.a	volubility#taciturn.a
frame-Wagering-wager.v	wagering#wager.n
frame-Waking_up-revive.v	waking_up#come_to.v
frame-Waking_up-wake.v	waking_up#awake.v	waking_up#wake_up.v
frame-Waver_between_options-waver.v	waver_between_options#vacillate.v	waver_between_options#waffle.v
frame-Wealthiness-needy.a	wealthiness#impoverished.a
frame-Wealthiness-poverty.n	wealthiness#poor.a
frame-Wealthiness-rich.a	wealthiness#affluent.a	wealthiness#wealthy.a
frame-Wealthiness-well-off.a	wealthiness#prosperous.a
frame-Weapon-AK-47.n	weapon#ak-47.n
frame-Weapon-BW.n	weapon#bw.n
frame-Weapon-CW.n	weapon#cw.n
frame-Weapon-Scud-B.n	weapon#scud-b.n
frame-Weapon-Scud-B_missile.n	weapon#scud-b_missile.n
frame-Weapon-Scud-C_missile.n	weapon#scud-c_missile.n
frame-Weapon-WMD.n	weapon#weapon_of_mass_destruction.n	weapon#wmd.n
frame-Weapon-arms.n	weapon#weaponry.n
frame-Weapon-atomic_weapon.n	weapon#nuclear_weapon.n
frame-Weapon-explosive.n	weapon#explosive.a
frame-Weapon-gun.n	weapon#artillery.n	weapon#ordnance.n
frame-Weapon-pistol.n	weapon#handgun.n
frame-Weapon-revolver.n	weapon#six-shooter.n
frame-Wearing-barefoot.a	wearing#barefooted.a	wearing#shoeless.a
frame-Wearing-braless.a	wearing#bare-breasted.a	wearing#topless.a
frame-Wearing-clad.a	wearing#clothed.a
frame-Wearing-in.prep	wearing#in.c
frame-Wearing-nudity.n	wearing#bare.a	wearing#naked.a	wearing#nakedness.n	wearing#nude.a
frame-Wearing-robed.a	wearing#attired.a	wearing#dressed.a	wearing#garbed.a
frame-Wearing-unclad.a	wearing#undressed.a
frame-Wearing-wear.v	wearing#have_on.v
frame-Wearing-with_on.prep	wearing#with_on.c
frame-Weather-blizzard.n	weather#snowstorm.n
frame-Weather-storm.n	weather#stormy.a
frame-Willingness-loath.a	willingness#reluctant.a
frame-Willingness-unwillingness.n	willingness#unwilling.a
frame-Willingness-willingness.n	willingness#willing.a
frame-Withdraw_from_participation-withdraw.v	withdraw_from_participation#withdrawal.n
frame-Within_distance-within.prep	within_distance#within.c
frame-Word_relations-homophone.n	word_relations#homophonous.a
frame-Word_relations-synonym.n	word_relations#synonymous.a
frame-Working_on-peg_away.v	working_on#plug_away.v
frame-Working_on-work.v	working_on#work.n
