fe-Aggregate-AggregateProperty	aggregate@aggregateproperty
frame-Breathing-inhale.v	breathing#breathe.v	breathing#inhalation.n	breathing#inhalation_breath.n	breathing#inspire.v	breathing#respire.v	breathing#suspire.v
frame-Breathing-sigh.v	breathing#sigh.n
frame-Bringing-bike.v	bringing#wheel.v
frame-Bringing-drive.v	bringing#motor.v
frame-Bringing-haul.v	bringing#truck.v
frame-Bringing-lug.v	bringing#bear.v	bringing#bring.v	bringing#carry.v	bringing#convey.v	bringing#fetch.v	bringing#take.v	bringing#tote.v	bringing#transport.n	bringing#transport.v
frame-Building-erect.v	building#raise.v
frame-Building-make.v	building#build.v	building#construct.v	building#construction.n	building#fashion.v
frame-Building_subparts-TV_room.n	building_subparts#tv_room.n
frame-Building_subparts-bathroom.n	building_subparts#lavatory.n
frame-Building_subparts-bedroom.n	building_subparts#chamber.n
frame-Building_subparts-cellar.n	building_subparts#basement.n
frame-Building_subparts-flat.n	building_subparts#apartment.n
frame-Building_subparts-foyer.n	building_subparts#antechamber.n	building_subparts#anteroom.n	building_subparts#lobby.n	building_subparts#vestibule.n
frame-Building_subparts-larder.n	building_subparts#buttery.n	building_subparts#pantry.n
frame-Building_subparts-lift.n	building_subparts#elevator.n
frame-Building_subparts-loft.n	building_subparts#attic.n	building_subparts#garret.n
frame-Building_subparts-parlor.n	building_subparts#living_room.n	building_subparts#sitting_room.n
frame-Building_subparts-playroom.n	building_subparts#rumpus_room.n
frame-Buildings-arena.n	buildings#stadium.n
frame-Buildings-castle.n	buildings#palace.n
frame-Buildings-cottage.n	buildings#bungalow.n
frame-Buildings-disco.n	buildings#discotheque.n
frame-Buildings-fort.n	buildings#fortification.n	buildings#fortress.n
frame-Buildings-hall.n	buildings#manse.n	buildings#mansion.n	buildings#residence.n
frame-Buildings-home.n	buildings#dwelling.n
frame-Buildings-house.n	buildings#housing.n
frame-Buildings-hovel.n	buildings#shack.n	buildings#shanty.n
frame-Buildings-inn.n	buildings#hostel.n
frame-Buildings-temple.n	buildings#synagogue.n	buildings#tabernacle.n
frame-Bungling-blow.v	bungling#ball_up.v	bungling#bollix.v	bungling#bollix_up.v	bungling#botch.v	bungling#botch_up.v	bungling#bumble.v	bungling#bungle.v	bungling#bungler.n	bungling#flub.v	bungling#fluff.v	bungling#foul_up.v	bungling#fuck_up.v	bungling#fumble.v	bungling#louse_up.v	bungling#mess-up.n	bungling#mess_up.v	bungling#muck_up.v	bungling#muff.v	bungling#screw_up.v	bungling#stumble.v
frame-Bungling-bumbling.a	bungling#bungling.a
frame-Calendric_unit-April.n	calendric_unit#april.n
frame-Calendric_unit-August.n	calendric_unit#august.n
frame-Calendric_unit-December.n	calendric_unit#december.n
frame-Calendric_unit-February.n	calendric_unit#february.n
frame-Calendric_unit-Friday.n	calendric_unit#friday.n
frame-Calendric_unit-January.n	calendric_unit#january.n
frame-Calendric_unit-July.n	calendric_unit#july.n
frame-Calendric_unit-June.n	calendric_unit#june.n
frame-Calendric_unit-March.n	calendric_unit#march.n
frame-Calendric_unit-May.n	calendric_unit#may.n
frame-Calendric_unit-Monday.n	calendric_unit#monday.n
frame-Calendric_unit-November.n	calendric_unit#november.n
frame-Calendric_unit-October.n	calendric_unit#october.n
frame-Calendric_unit-Saturday.n	calendric_unit#saturday.n
frame-Calendric_unit-September.n	calendric_unit#september.n
frame-Calendric_unit-Sunday.n	calendric_unit#sunday.n
frame-Calendric_unit-Thursday.n	calendric_unit#thursday.n
frame-Calendric_unit-Tuesday.n	calendric_unit#tuesday.n
frame-Calendric_unit-Wednesday.n	calendric_unit#wednesday.n
